"ï»¿""Fecha"",""Ã_ltimo"",""Apertura"",""MÃ¡ximo"",""MÃ_nimo"",""Vol."",""% var."""
"15.07.2013,""8.234,81"",""8.237,92"",""8.271,38"",""8.211,42"",""67,64M"",""0,27%"""
"12.07.2013,""8.212,77"",""8.192,91"",""8.244,13"",""8.178,20"",""87,87M"",""0,66%"""
"11.07.2013,""8.158,80"",""8.163,56"",""8.176,70"",""8.130,48"",""81,26M"",""1,14%"""
"10.07.2013,""8.066,48"",""8.056,51"",""8.081,21"",""7.990,65"",""75,95M"",""0,11%"""
"09.07.2013,""8.057,75"",""8.021,13"",""8.086,95"",""8.005,73"",""82,86M"",""1,12%"""
"08.07.2013,""7.968,54"",""7.865,92"",""8.015,21"",""7.848,14"",""79,57M"",""2,08%"""
"05.07.2013,""7.806,00"",""8.010,44"",""8.031,71"",""7.805,36"",""116,27M"",""-2,36%"""
"04.07.2013,""7.994,31"",""7.877,91"",""8.015,08"",""7.863,76"",""119,38M"",""2,11%"""
"03.07.2013,""7.829,32"",""7.841,18"",""7.841,87"",""7.730,37"",""115,95M"",""-1,03%"""
"02.07.2013,""7.910,77"",""7.988,92"",""7.988,96"",""7.873,97"",""96,76M"",""-0,92%"""
"01.07.2013,""7.983,92"",""8.000,02"",""8.023,15"",""7.890,28"",""96,72M"",""0,31%"""
"28.06.2013,""7.959,22"",""8.015,53"",""8.037,68"",""7.906,14"",""101,76M"",""-0,39%"""
"27.06.2013,""7.990,75"",""7.945,92"",""8.025,81"",""7.919,59"",""102,94M"",""0,63%"""
"26.06.2013,""7.940,99"",""7.810,37"",""7.960,45"",""7.800,85"",""128,57M"",""1,66%"""
"25.06.2013,""7.811,30"",""7.741,13"",""7.842,48"",""7.725,99"",""109,49M"",""1,55%"""
"24.06.2013,""7.692,45"",""7.776,88"",""7.823,84"",""7.655,83"",""121,38M"",""-1,24%"""
"21.06.2013,""7.789,24"",""7.946,32"",""7.987,04"",""7.789,24"",""245,49M"",""-1,76%"""
"20.06.2013,""7.928,48"",""8.085,67"",""8.085,67"",""7.911,96"",""131,81M"",""-3,28%"""
"19.06.2013,""8.197,08"",""8.254,57"",""8.285,90"",""8.160,50"",""78,66M"",""-0,39%"""
"18.06.2013,""8.229,51"",""8.196,44"",""8.241,60"",""8.176,19"",""73,65M"",""0,17%"""
"17.06.2013,""8.215,73"",""8.170,75"",""8.265,49"",""8.167,67"",""73,15M"",""1,08%"""
"14.06.2013,""8.127,96"",""8.157,88"",""8.188,00"",""8.111,38"",""72,77M"",""0,40%"""
"13.06.2013,""8.095,39"",""8.023,37"",""8.110,38"",""7.968,13"",""97,59M"",""-0,59%"""
"12.06.2013,""8.143,27"",""8.204,91"",""8.246,08"",""8.122,72"",""81,79M"",""-0,96%"""
"11.06.2013,""8.222,46"",""8.256,19"",""8.260,86"",""8.141,02"",""96,69M"",""-1,03%"""
"10.06.2013,""8.307,69"",""8.246,04"",""8.355,79"",""8.245,94"",""75,73M"",""0,64%"""
"07.06.2013,""8.254,68"",""8.124,88"",""8.279,03"",""8.034,55"",""103,60M"",""1,92%"""
"06.06.2013,""8.098,81"",""8.188,82"",""8.235,09"",""8.098,81"",""85,24M"",""-1,19%"""
"05.06.2013,""8.196,18"",""8.229,23"",""8.293,28"",""8.182,08"",""89,16M"",""-1,20%"""
"04.06.2013,""8.295,96"",""8.358,68"",""8.384,36"",""8.274,94"",""82,41M"",""0,12%"""
"03.06.2013,""8.285,80"",""8.291,49"",""8.395,56"",""8.214,78"",""97,75M"",""-0,76%"""
"31.05.2013,""8.348,84"",""8.385,38"",""8.401,63"",""8.297,03"",""122,40M"",""-0,61%"""
"30.05.2013,""8.400,20"",""8.314,20"",""8.416,36"",""8.293,96"",""103,14M"",""0,76%"""
"29.05.2013,""8.336,58"",""8.437,21"",""8.445,46"",""8.316,70"",""107,50M"",""-1,70%"""
"28.05.2013,""8.480,87"",""8.432,46"",""8.526,42"",""8.424,40"",""97,46M"",""1,16%"""
"27.05.2013,""8.383,30"",""8.346,60"",""8.386,86"",""8.338,32"",""48,71M"",""0,94%"""
"24.05.2013,""8.305,32"",""8.390,16"",""8.391,02"",""8.262,64"",""131,15M"",""-0,56%"""
"23.05.2013,""8.351,98"",""8.410,06"",""8.412,25"",""8.281,11"",""132,88M"",""-2,10%"""
"22.05.2013,""8.530,89"",""8.467,56"",""8.557,86"",""8.434,83"",""110,21M"",""0,69%"""
"21.05.2013,""8.472,20"",""8.446,78"",""8.476,18"",""8.397,54"",""113,84M"",""0,19%"""
"20.05.2013,""8.455,83"",""8.434,97"",""8.456,24"",""8.401,74"",""78,30M"",""0,69%"""
"17.05.2013,""8.398,00"",""8.356,26"",""8.408,62"",""8.327,47"",""158,38M"",""0,34%"""
"16.05.2013,""8.369,87"",""8.348,54"",""8.401,28"",""8.324,23"",""125,95M"",""0,09%"""
"15.05.2013,""8.362,42"",""8.333,61"",""8.368,06"",""8.299,83"",""152,90M"",""0,28%"""
"14.05.2013,""8.339,11"",""8.304,50"",""8.339,11"",""8.235,97"",""114,73M"",""0,72%"""
"13.05.2013,""8.279,29"",""8.281,95"",""8.294,56"",""8.217,15"",""85,26M"",""0,01%"""
"10.05.2013,""8.278,59"",""8.278,45"",""8.358,23"",""8.252,37"",""95,07M"",""0,19%"""
"09.05.2013,""8.262,55"",""8.232,50"",""8.274,18"",""8.224,52"",""57,87M"",""0,16%"""
"08.05.2013,""8.249,71"",""8.176,88"",""8.253,47"",""8.173,35"",""121,80M"",""0,83%"""
"07.05.2013,""8.181,78"",""8.125,82"",""8.206,01"",""8.116,67"",""89,54M"",""0,86%"""
"06.05.2013,""8.112,08"",""8.119,22"",""8.148,14"",""8.103,27"",""66,15M"",""-0,13%"""
"03.05.2013,""8.122,29"",""7.972,28"",""8.130,16"",""7.957,36"",""134,55M"",""2,02%"""
"02.05.2013,""7.961,71"",""7.905,35"",""8.005,83"",""7.896,99"",""142,87M"",""0,61%"""
"30.04.2013,""7.913,71"",""7.928,42"",""7.965,90"",""7.893,08"",""119,77M"",""0,51%"""
"29.04.2013,""7.873,50"",""7.834,02"",""7.873,50"",""7.823,24"",""79,20M"",""0,75%"""
"26.04.2013,""7.814,76"",""7.835,59"",""7.840,47"",""7.767,61"",""94,49M"",""-0,23%"""
"25.04.2013,""7.832,86"",""7.766,61"",""7.838,31"",""7.741,98"",""92,93M"",""0,95%"""
"24.04.2013,""7.759,03"",""7.656,76"",""7.767,36"",""7.656,22"",""117,92M"",""1,32%"""
"23.04.2013,""7.658,21"",""7.477,03"",""7.664,22"",""7.442,36"",""184,06M"",""2,41%"""
"22.04.2013,""7.478,11"",""7.516,06"",""7.538,22"",""7.437,52"",""153,70M"",""0,24%"""
"19.04.2013,""7.459,96"",""7.490,11"",""7.531,09"",""7.418,36"",""178,32M"",""-0,18%"""
"18.04.2013,""7.473,73"",""7.519,67"",""7.556,55"",""7.436,78"",""140,26M"",""-0,39%"""
"17.04.2013,""7.503,03"",""7.719,56"",""7.722,46"",""7.473,07"",""161,07M"",""-2,34%"""
"16.04.2013,""7.682,58"",""7.680,78"",""7.739,66"",""7.639,43"",""139,71M"",""-0,39%"""
"15.04.2013,""7.712,63"",""7.740,54"",""7.773,11"",""7.651,58"",""118,15M"",""-0,41%"""
"12.04.2013,""7.744,77"",""7.831,87"",""7.838,53"",""7.726,13"",""121,69M"",""-1,61%"""
"11.04.2013,""7.871,63"",""7.799,31"",""7.885,45"",""7.786,75"",""126,50M"",""0,78%"""
"10.04.2013,""7.810,63"",""7.664,16"",""7.822,12"",""7.660,20"",""158,66M"",""2,27%"""
"09.04.2013,""7.637,51"",""7.704,35"",""7.723,20"",""7.608,04"",""120,78M"",""-0,33%"""
"08.04.2013,""7.662,64"",""7.669,04"",""7.698,47"",""7.645,56"",""85,36M"",""0,05%"""
"05.04.2013,""7.658,75"",""7.820,69"",""7.825,28"",""7.632,42"",""144,76M"",""-2,03%"""
"04.04.2013,""7.817,39"",""7.902,86"",""7.927,93"",""7.803,89"",""145,00M"",""-0,73%"""
"03.04.2013,""7.874,75"",""7.926,88"",""7.953,15"",""7.869,81"",""103,69M"",""-0,87%"""
"02.04.2013,""7.943,87"",""7.806,12"",""7.949,20"",""7.805,92"",""116,77M"",""1,91%"""
"28.03.2013,""7.795,31"",""7.791,14"",""7.842,58"",""7.778,02"",""128,18M"",""0,08%"""
"27.03.2013,""7.789,09"",""7.905,96"",""7.916,76"",""7.750,38"",""146,70M"",""-1,15%"""
"26.03.2013,""7.879,67"",""7.889,15"",""7.912,52"",""7.859,27"",""115,37M"",""0,11%"""
"25.03.2013,""7.870,90"",""7.988,27"",""8.030,76"",""7.847,97"",""157,51M"",""-0,51%"""
"22.03.2013,""7.911,35"",""7.917,64"",""7.953,93"",""7.876,36"",""131,99M"",""-0,27%"""
"21.03.2013,""7.932,51"",""7.989,59"",""7.999,34"",""7.887,67"",""159,85M"",""-0,87%"""
"20.03.2013,""8.001,97"",""7.995,59"",""8.030,46"",""7.972,21"",""122,11M"",""0,68%"""
"19.03.2013,""7.947,79"",""7.980,54"",""8.000,97"",""7.919,45"",""154,90M"",""-0,79%"""
"18.03.2013,""8.010,70"",""7.924,04"",""8.020,91"",""7.901,94"",""130,36M"",""-0,40%"""
"15.03.2013,""8.042,85"",""8.074,03"",""8.074,47"",""7.996,95"",""311,60M"",""-0,19%"""
"14.03.2013,""8.058,37"",""8.013,25"",""8.060,26"",""8.011,22"",""280,67M"",""1,10%"""
"13.03.2013,""7.970,91"",""7.964,77"",""7.978,84"",""7.942,37"",""368,77M"",""0,06%"""
"12.03.2013,""7.966,12"",""7.970,83"",""7.999,50"",""7.933,94"",""175,95M"",""-0,23%"""
"11.03.2013,""7.984,29"",""7.967,46"",""7.989,21"",""7.954,58"",""82,98M"",""-0,03%"""
"08.03.2013,""7.986,47"",""7.970,66"",""8.015,07"",""7.962,28"",""134,78M"",""0,59%"""
"07.03.2013,""7.939,77"",""7.934,19"",""7.956,26"",""7.911,56"",""98,78M"",""0,26%"""
"06.03.2013,""7.919,33"",""7.907,39"",""7.977,64"",""7.898,04"",""124,63M"",""0,62%"""
"05.03.2013,""7.870,31"",""7.779,62"",""7.883,60"",""7.772,33"",""137,28M"",""2,32%"""
"04.03.2013,""7.691,68"",""7.654,67"",""7.708,88"",""7.637,32"",""83,89M"",""-0,21%"""
"01.03.2013,""7.708,16"",""7.735,35"",""7.767,67"",""7.627,99"",""131,32M"",""-0,43%"""
"28.02.2013,""7.741,70"",""7.712,20"",""7.753,39"",""7.691,81"",""126,36M"",""0,86%"""
"27.02.2013,""7.675,83"",""7.641,84"",""7.679,44"",""7.565,78"",""117,57M"",""1,04%"""
"26.02.2013,""7.597,11"",""7.682,24"",""7.683,96"",""7.589,32"",""171,52M"",""-2,27%"""
"25.02.2013,""7.773,19"",""7.731,80"",""7.860,57"",""7.726,40"",""182,46M"",""1,45%"""
"22.02.2013,""7.661,91"",""7.619,81"",""7.681,12"",""7.607,26"",""148,92M"",""1,03%"""
"21.02.2013,""7.583,57"",""7.681,61"",""7.688,44"",""7.561,84"",""156,41M"",""-1,88%"""
"20.02.2013,""7.728,90"",""7.747,21"",""7.784,64"",""7.709,48"",""135,41M"",""-0,30%"""
"19.02.2013,""7.752,45"",""7.614,10"",""7.762,90"",""7.611,60"",""131,08M"",""1,62%"""
"18.02.2013,""7.628,73"",""7.591,08"",""7.629,78"",""7.568,16"",""91,57M"",""0,46%"""
"15.02.2013,""7.593,51"",""7.636,26"",""7.649,50"",""7.588,57"",""185,14M"",""-0,49%"""
"14.02.2013,""7.631,19"",""7.697,89"",""7.729,36"",""7.607,48"",""113,78M"",""-1,05%"""
"13.02.2013,""7.711,89"",""7.678,48"",""7.737,41"",""7.650,29"",""97,75M"",""0,67%"""
