FECHA;CIERRE;APERTURA;MAX;MIN;Vol.
01.02.2019;9019.4;9.058.60;9.078.70;8.942.40;286.84M
31.01.2019;9056.7;9.103.80;9.117.10;8.981.70;222.89M
30.01.2019;9071.5;9.123.90;9.142.10;9.034.10;154.21M
29.01.2019;9119.1;9.064.60;9.163.80;9.034.10;144.38M
28.01.2019;9062.4;9.149.50;9.181.50;9.048.90;134.49M
25.01.2019;9185.2;9.206.90;9.225.40;9.164.60;161.49M
24.01.2019;9150;9.150.00;9.205.40;9.088.00;163.42M
23.01.2019;9128.8;9.011.90;9.169.70;9.006.40;135.90M
22.01.2019;9037.5;9.009.00;9.055.60;9.001.10;143.28M
21.01.2019;9053.8;9.064.80;9.070.60;9.033.20;90.49M
18.01.2019;9069.1;8.962.30;9.080.80;8.950.90;203.55M
17.01.2019;8908.6;8.868.10;8.939.10;8.850.60;152.92M
16.01.2019;8912.7;8.869.50;8.912.70;8.836.70;176.32M
15.01.2019;8850.1;8.878.40;8.915.90;8.768.20;136.52M
14.01.2019;8818.6;8.819.20;8.840.40;8.751.20;126.00M
11.01.2019;8877.1;8.855.90;8.900.40;8.836.00;151.62M
10.01.2019;8856.8;8.790.00;8.856.80;8.784.50;148.19M
09.01.2019;8823.6;8.887.40;8.892.90;8.807.00;160.46M
08.01.2019;8847.3;8.783.10;8.895.90;8.773.40;160.82M
07.01.2019;8776.3;8.781.20;8.783.50;8.710.40;128.76M
04.01.2019;8737.8;8.593.80;8.774.30;8.588.10;169.09M
03.01.2019;8523.3;8.497.50;8.590.90;8.488.10;135.07M
02.01.2019;8550;8.448.30;8.582.40;8.354.80;130.76M
31.12.2018;8539.9;8.510.80;8.583.30;8.490.70;64.73M
28.12.2018;8493.7;8.386.20;8.513.40;8.378.70;143.83M
27.12.2018;8363.9;8.555.60;8.557.70;8.286.20;211.96M
24.12.2018;8480.6;8.490.20;8.528.40;8.471.20;53.51M
21.12.2018;8556.8;8.563.20;8.598.40;8.468.40;389.12M
20.12.2018;8596.5;8.647.80;8.698.50;8.567.00;231.92M
19.12.2018;8769.1;8.720.10;8.804.20;8.717.80;188.36M
18.12.2018;8700.8;8.781.10;8.802.10;8.700.80;225.82M
17.12.2018;8812.5;8.862.90;8.906.20;8.807.90;173.09M
14.12.2018;8886.1;8.865.90;8.908.00;8.787.60;151.98M
13.12.2018;8926.3;8.915.80;8.974.90;8.868.60;216.18M
12.12.2018;8853.4;8.724.90;8.887.70;8.718.10;219.18M
11.12.2018;8735.5;8.709.40;8.826.40;8.671.90;210.51M
10.12.2018;8660;8.771.00;8.804.60;8.644.00;174.11M
07.12.2018;8815.5;8.819.60;8.914.60;8.805.20;164.63M
06.12.2018;8764.5;8.926.00;8.927.40;8.743.70;214.51M
05.12.2018;9012.2;8.983.70;9.048.50;8.945.50;136.51M
04.12.2018;9061.7;9.148.50;9.170.80;9.057.70;164.52M
03.12.2018;9179.6;9.239.80;9.262.10;9.159.10;167.66M
30.11.2018;9077.2;9.112.40;9.117.80;9.046.20;207.83M
29.11.2018;9098.9;9.168.90;9.199.60;9.080.70;145.11M
28.11.2018;9102.7;9.120.40;9.163.10;9.096.80;148.53M
27.11.2018;9085.6;9.091.70;9.156.40;9.033.00;173.49M
26.11.2018;9091.2;8.984.00;9.104.60;8.984.00;173.69M
23.11.2018;8916.7;8.903.20;8.951.10;8.867.70;94.33M
22.11.2018;8906.2;8.917.40;8.947.60;8.878.70;118.00M
21.11.2018;8960.6;8.905.70;8.979.20;8.896.30;145.08M
20.11.2018;8866.5;8.970.70;8.977.00;8.829.60;176.40M
19.11.2018;9006.3;9.073.80;9.138.30;9.006.30;123.71M
16.11.2018;9056.8;9.111.60;9.131.50;9.015.90;202.08M
15.11.2018;9073.5;9.133.70;9.189.80;9.018.60;184.70M
14.11.2018;9106.6;9.097.80;9.176.40;9.036.70;139.66M
13.11.2018;9145.4;9.097.20;9.163.30;9.074.50;153.90M
12.11.2018;9076.3;9.174.80;9.180.60;9.068.30;141.48M
09.11.2018;9134.8;9.117.70;9.156.80;9.079.70;203.27M
08.11.2018;9177;9.182.70;9.232.30;9.147.80;147.22M
07.11.2018;9167.9;9.165.20;9.174.20;9.117.70;249.73M
06.11.2018;8988.9;9.002.30;9.013.10;8.911.30;146.18M
05.11.2018;9010.7;9.005.40;9.065.30;9.002.20;142.75M
02.11.2018;8993;9.058.70;9.073.50;8.976.50;173.42M
01.11.2018;8954.8;8.882.50;8.985.30;8.875.80;169.06M
31.10.2018;8893.5;8.911.50;8.962.60;8.883.80;299.96M
30.10.2018;8806.1;8.849.50;8.874.00;8.776.20;194.83M
29.10.2018;8821.2;8.775.70;8.882.70;8.752.90;184.72M
26.10.2018;8730.4;8.746.10;8.746.10;8.627.60;234.58M
25.10.2018;8785.2;8.639.50;8.797.90;8.637.50;253.39M
24.10.2018;8677.4;8.767.00;8.805.50;8.677.40;201.04M
23.10.2018;8726.1;8.715.40;8.781.90;8.681.70;249.66M
22.10.2018;8806.5;8.997.70;9.013.10;8.796.30;197.33M
19.10.2018;8892.1;8.874.70;8.960.20;8.768.60;349.74M
18.10.2018;8889.6;8.970.70;9.063.80;8.887.90;313.57M
17.10.2018;8997.2;9.113.40;9.140.30;8.967.10;185.71M
16.10.2018;9074.7;8.967.80;9.096.80;8.934.00;200.18M
15.10.2018;8923.7;8.883.10;8.936.50;8.849.40;169.65M
12.10.2018;8902;9.094.70;9.098.10;8.897.50;168.95M
11.10.2018;9007.9;9.018.40;9.121.00;8.970.80;238.99M
10.10.2018;9162.9;9.243.20;9.273.00;9.158.80;177.15M
09.10.2018;9260.5;9.231.70;9.283.30;9.136.20;171.34M
08.10.2018;9199.2;9.227.10;9.243.00;9.167.40;140.67M
05.10.2018;9253.9;9.318.10;9.318.10;9.239.90;133.29M
04.10.2018;9314.5;9.349.00;9.378.70;9.304.70;170.70M
03.10.2018;9361.1;9.360.60;9.424.70;9.300.80;156.82M
02.10.2018;9305.5;9.349.10;9.356.10;9.285.10;187.25M
01.10.2018;9407;9.384.30;9.475.20;9.367.60;155.28M
28.09.2018;9389.2;9.468.00;9.468.90;9.299.60;243.63M
27.09.2018;9527.5;9.492.50;9.542.80;9.406.80;151.51M
26.09.2018;9524.8;9.519.60;9.530.30;9.471.10;136.92M
25.09.2018;9493.6;9.524.80;9.568.00;9.480.40;141.86M
24.09.2018;9512.8;9.549.90;9.586.00;9.499.90;142.11M
21.09.2018;9590.4;9.614.30;9.665.40;9.563.30;408.47M
20.09.2018;9583.7;9.489.50;9.607.00;9.488.30;232.06M
19.09.2018;9486.3;9.464.40;9.502.90;9.422.40;205.65M
18.09.2018;9447.5;9.406.70;9.453.60;9.385.80;141.91M
17.09.2018;9404.6;9.350.30;9.434.40;9.349.90;147.15M
14.09.2018;9365.3;9.359.40;9.378.30;9.324.20;132.23M
13.09.2018;9329.2;9.308.00;9.387.10;9.296.70;159.38M
12.09.2018;9306.8;9.286.50;9.319.70;9.248.70;130.32M
11.09.2018;9284.1;9.301.10;9.302.50;9.211.80;122.17M
10.09.2018;9270.8;9.173.00;9.300.90;9.161.00;144.74M
07.09.2018;9171.2;9.209.20;9.237.90;9.111.10;162.08M
06.09.2018;9208.7;9.267.70;9.291.80;9.208.20;160.95M
05.09.2018;9301.3;9.353.20;9.377.60;9.301.30;180.70M
04.09.2018;9376.3;9.414.70;9.436.10;9.308.70;159.84M
03.09.2018;9376.1;9.387.70;9.421.60;9.356.10;89.35M
31.08.2018;9399.1;9.466.30;9.470.60;9.375.10;172.66M
30.08.2018;9467.6;9.546.10;9.574.10;9.445.10;144.31M
29.08.2018;9569.5;9.585.70;9.597.10;9.502.30;104.42M
28.08.2018;9606.5;9.667.60;9.671.10;9.598.40;114.91M
27.08.2018;9659.8;9.631.60;9.662.70;9.596.20;79.60M
24.08.2018;9589.5;9.559.70;9.625.80;9.559.70;99.42M
23.08.2018;9567.3;9.592.50;9.630.20;9.556.20;93.56M
22.08.2018;9580.2;9.535.50;9.595.40;9.512.40;114.12M
21.08.2018;9549;9.465.90;9.591.00;9.459.40;110.66M
20.08.2018;9468.6;9.448.90;9.512.50;9.437.10;95.32M
17.08.2018;9417.3;9.450.30;9.457.00;9.357.60;141.12M
16.08.2018;9427.4;9.440.80;9.458.90;9.384.70;138.15M
15.08.2018;9386.8;9.537.00;9.547.60;9.339.50;163.61M
14.08.2018;9507;9.574.80;9.596.30;9.476.90;164.12M
13.08.2018;9530.4;9.543.80;9.558.40;9.475.10;177.47M
10.08.2018;9602.1;9.669.60;9.675.60;9.557.40;224.94M
09.08.2018;9754.6;9.745.20;9.756.70;9.693.20;108.33M
08.08.2018;9747.1;9.763.90;9.794.00;9.700.40;107.99M
07.08.2018;9772.8;9.751.80;9.813.60;9.743.40;101.97M
06.08.2018;9722.7;9.758.40;9.788.40;9.699.30;114.09M
03.08.2018;9739.8;9.710.30;9.762.70;9.671.20;146.43M
02.08.2018;9698.2;9.765.90;9.783.80;9.666.60;196.96M
01.08.2018;9799.3;9.871.10;9.902.30;9.795.10;136.28M
31.07.2018;9870.7;9.846.20;9.924.40;9.843.50;203.08M
30.07.2018;9854.1;9.827.90;9.905.30;9.825.10;140.60M
27.07.2018;9867.9;9.781.60;9.896.00;9.775.90;230.69M
26.07.2018;9780;9.741.20;9.789.70;9.732.50;184.76M
25.07.2018;9703.1;9.769.80;9.771.70;9.686.20;149.29M
24.07.2018;9773.1;9.775.90;9.820.10;9.753.90;160.66M
23.07.2018;9726.1;9.699.70;9.747.60;9.661.40;116.98M
20.07.2018;9724.8;9.710.40;9.751.30;9.654.30;162.18M
19.07.2018;9721.1;9.748.90;9.796.70;9.696.20;147.19M
18.07.2018;9753.2;9.739.10;9.753.20;9.672.70;143.48M
17.07.2018;9719.4;9.716.40;9.759.50;9.643.90;175.05M
16.07.2018;9716.9;9.733.60;9.781.10;9.697.10;113.17M
13.07.2018;9734.8;9.807.50;9.807.50;9.717.60;132.53M
