FECHA;CIERRE;APERTURA;MAX;MIN;Vol.
01.02.2019;10893.65;10.851.35;10.983.45;10.813.45;482.27M
31.01.2019;10830.95;10.690.55;10.838.05;10.678.55;604.82M
30.01.2019;10651.8;10.702.25;10.710.20;10.612.85;410.11M
29.01.2019;10652.2;10.653.70;10.690.35;10.583.65;356.91M
28.01.2019;10661.55;10.792.45;10.804.45;10.630.95;419.68M
25.01.2019;10780.55;10.859.75;10.931.70;10.756.45;463.44M
24.01.2019;10849.8;10.844.05;10.866.60;10.798.65;361.08M
23.01.2019;10831.5;10.931.05;10.944.80;10.811.95;298.88M
22.01.2019;10922.75;10.949.80;10.949.80;10.864.15;300.77M
21.01.2019;10961.85;10.919.35;10.987.45;10.885.75;288.83M
18.01.2019;10906.95;10.914.85;10.928.20;10.852.20;323.81M
17.01.2019;10905.2;10.920.85;10.930.65;10.844.65;271.68M
16.01.2019;10890.3;10.899.65;10.928.15;10.876.90;276.54M
15.01.2019;10886.8;10.777.55;10.896.95;10.777.55;310.74M
14.01.2019;10737.6;10.807.00;10.808.00;10.692.35;298.77M
11.01.2019;10794.95;10.834.75;10.850.15;10.739.40;260.79M
10.01.2019;10821.6;10.859.35;10.859.35;10.801.80;254.36M
09.01.2019;10855.15;10.862.40;10.870.40;10.749.40;333.01M
08.01.2019;10802.15;10.786.25;10.818.45;10.733.25;277.70M
07.01.2019;10771.8;10.804.85;10.835.95;10.750.15;269.37M
04.01.2019;10727.35;10.699.70;10.741.05;10.628.65;296.60M
03.01.2019;10672.25;10.796.80;10.814.05;10.661.25;286.24M
02.01.2019;10792.5;10.868.85;10.895.35;10.735.05;309.67M
01.01.2019;10910.1;10.881.70;10.923.60;10.807.10;159.40M
31.12.2018;10862.55;10.913.20;10.923.55;10.853.20;186.50M
28.12.2018;10859.9;10.820.95;10.893.60;10.817.15;253.09M
27.12.2018;10779.8;10.817.90;10.834.20;10.764.45;470.16M
26.12.2018;10729.85;10.635.45;10.747.50;10.534.55;271.94M
24.12.2018;10663.5;10.780.90;10.782.30;10.649.25;230.29M
21.12.2018;10754;10.944.25;10.963.65;10.738.65;389.24M
20.12.2018;10951.7;10.885.20;10.962.55;10.880.05;328.80M
19.12.2018;10967.3;10.930.55;10.985.15;10.928.00;321.80M
18.12.2018;10908.7;10.850.90;10.915.40;10.819.10;294.94M
17.12.2018;10888.35;10.853.20;10.900.35;10.844.85;306.15M
14.12.2018;10805.45;10.784.50;10.815.75;10.752.10;350.58M
13.12.2018;10791.55;10.810.75;10.838.60;10.749.50;387.81M
12.12.2018;10737.6;10.591.00;10.752.20;10.560.80;371.70M
11.12.2018;10549.15;10.350.05;10.567.15;10.333.85;438.70M
10.12.2018;10488.45;10.508.70;10.558.85;10.474.95;393.10M
07.12.2018;10693.7;10.644.80;10.704.55;10.599.35;335.85M
06.12.2018;10601.15;10.718.15;10.722.65;10.588.25;328.28M
05.12.2018;10782.9;10.820.45;10.821.05;10.747.95;322.02M
04.12.2018;10869.5;10.877.10;10.890.95;10.833.35;332.14M
03.12.2018;10883.75;10.930.70;10.941.20;10.845.35;422.36M
30.11.2018;10876.75;10.892.10;10.922.45;10.835.10;467.86M
29.11.2018;10858.7;10.808.70;10.883.05;10.782.35;712.65M
28.11.2018;10728.85;10.708.75;10.757.80;10.699.85;437.63M
27.11.2018;10685.6;10.621.45;10.695.15;10.596.35;382.83M
26.11.2018;10628.6;10.568.30;10.637.80;10.489.75;332.86M
22.11.2018;10526.75;10.612.65;10.646.25;10.512.00;246.93M
21.11.2018;10600.05;10.670.95;10.671.30;10.562.35;310.19M
20.11.2018;10656.2;10.740.10;10.740.85;10.640.85;304.32M
19.11.2018;10763.4;10.731.25;10.774.70;10.688.80;280.52M
16.11.2018;10682.2;10.644.00;10.695.15;10.631.15;353.38M
15.11.2018;10616.7;10.580.60;10.646.50;10.557.50;306.01M
14.11.2018;10576.3;10.634.90;10.651.60;10.532.70;396.37M
13.11.2018;10582.5;10.451.90;10.596.25;10.440.55;262.54M
12.11.2018;10482.2;10.607.80;10.645.50;10.464.05;267.71M
09.11.2018;10585.2;10.614.70;10.619.55;10.544.85;305.82M
07.11.2018;10598.85;10.614.45;10.616.45;10.591.80;2.83M
06.11.2018;10530;10.552.00;10.600.25;10.491.45;309.88M
05.11.2018;10524;10.558.75;10.558.80;10.477.00;311.18M
02.11.2018;10553;10.462.30;10.606.95;10.457.70;434.18M
01.11.2018;10380.45;10.441.70;10.441.90;10.341.90;359.34M
31.10.2018;10386.6;10.209.55;10.396.00;10.105.10;386.62M
30.10.2018;10198.4;10.239.40;10.285.10;10.175.35;298.75M
29.10.2018;10250.85;10.078.10;10.275.30;10.020.35;375.75M
26.10.2018;10030;10.122.35;10.128.85;10.004.55;375.56M
25.10.2018;10124.9;10.135.05;10.166.60;10.079.30;522.42M
24.10.2018;10224.75;10.278.15;10.290.65;10.126.70;362.27M
23.10.2018;10146.8;10.152.60;10.222.10;10.102.35;312.04M
22.10.2018;10245.25;10.405.85;10.408.55;10.224.00;306.47M
19.10.2018;10303.55;10.339.70;10.380.10;10.249.60;368.55M
17.10.2018;10453.05;10.688.70;10.710.15;10.436.45;293.59M
16.10.2018;10584.75;10.550.15;10.604.90;10.525.30;273.44M
15.10.2018;10512.5;10.524.20;10.526.30;10.410.15;267.52M
12.10.2018;10472.5;10.331.55;10.492.45;10.322.15;354.06M
11.10.2018;10234.65;10.169.80;10.335.95;10.138.60;498.51M
10.10.2018;10460.1;10.331.85;10.482.35;10.318.25;373.84M
09.10.2018;10301.05;10.390.30;10.397.60;10.279.35;443.80M
08.10.2018;10348.05;10.310.15;10.398.35;10.198.40;470.28M
05.10.2018;10316.45;10.514.10;10.540.65;10.261.90;625.15M
04.10.2018;10599.25;10.754.70;10.754.70;10.547.25;438.20M
03.10.2018;10858.25;10.982.70;10.989.05;10.843.75;398.76M
01.10.2018;11008.3;10.930.90;11.035.65;10.821.55;398.99M
28.09.2018;10930.45;11.008.10;11.034.10;10.850.30;492.89M
27.09.2018;10977.55;11.079.80;11.089.45;10.953.35;418.21M
26.09.2018;11053.8;11.145.55;11.145.55;10.993.05;351.04M
25.09.2018;11067.45;10.969.95;11.080.60;10.882.85;417.55M
24.09.2018;10967.4;11.164.40;11.170.15;10.943.60;398.82M
21.09.2018;11143.1;11.271.30;11.346.80;10.866.45;741.15M
19.09.2018;11234.35;11.326.65;11.332.05;11.210.90;258.42M
18.09.2018;11278.9;11.381.55;11.411.45;11.268.95;248.30M
17.09.2018;11377.75;11.464.95;11.464.95;11.366.90;207.62M
14.09.2018;11515.2;11.443.50;11.523.25;11.430.55;285.22M
12.09.2018;11369.9;11.340.10;11.380.75;11.250.20;276.51M
11.09.2018;11287.5;11.476.85;11.479.40;11.274.00;318.09M
10.09.2018;11438.1;11.570.25;11.573.00;11.427.30;295.60M
07.09.2018;11589.1;11.558.25;11.603.00;11.484.40;305.03M
06.09.2018;11536.9;11.514.15;11.562.25;11.436.05;255.56M
05.09.2018;11476.95;11.514.85;11.542.65;11.393.85;253.69M
04.09.2018;11520.3;11.598.75;11.602.55;11.496.85;262.70M
03.09.2018;11582.35;11.751.80;11.751.80;11.567.40;241.73M
31.08.2018;11680.5;11.675.85;11.727.65;11.640.10;357.23M
30.08.2018;11676.8;11.694.75;11.698.80;11.639.70;323.45M
29.08.2018;11691.9;11.744.95;11.753.20;11.678.85;259.35M
28.08.2018;11738.5;11.731.95;11.760.20;11.710.50;249.42M
27.08.2018;11691.95;11.605.85;11.700.95;11.595.60;205.69M
24.08.2018;11557.1;11.566.60;11.604.60;11.532.00;225.60M
23.08.2018;11582.75;11.620.70;11.620.70;11.546.70;256.16M
21.08.2018;11570.9;11.576.20;11.581.75;11.539.60;231.06M
20.08.2018;11551.75;11.502.10;11.565.30;11.499.65;239.84M
17.08.2018;11470.75;11.437.15;11.486.45;11.431.80;241.99M
16.08.2018;11385.05;11.397.15;11.449.85;11.366.25;299.61M
14.08.2018;11435.1;11.381.70;11.452.45;11.370.80;239.84M
13.08.2018;11355.75;11.369.60;11.406.30;11.340.30;254.47M
10.08.2018;11429.5;11.474.95;11.478.75;11.419.65;336.42M
09.08.2018;11470.7;11.493.25;11.495.20;11.454.10;311.52M
08.08.2018;11450;11.412.50;11.459.95;11.379.30;217.05M
07.08.2018;11389.45;11.423.15;11.428.95;11.359.70;233.41M
06.08.2018;11387.1;11.401.50;11.427.65;11.370.60;210.00M
03.08.2018;11360.8;11.297.80;11.368.00;11.294.55;225.15M
02.08.2018;11244.7;11.328.90;11.328.90;11.234.95;216.53M
01.08.2018;11346.2;11.359.80;11.390.55;11.313.55;278.01M
31.07.2018;11356.5;11.311.05;11.366.00;11.267.75;264.43M
30.07.2018;11319.55;11.296.65;11.328.10;11.261.45;287.44M
27.07.2018;11278.35;11.232.75;11.283.40;11.210.25;324.34M
26.07.2018;11167.3;11.132.95;11.185.85;11.125.70;376.66M
25.07.2018;11132;11.148.40;11.157.15;11.113.25;212.33M
24.07.2018;11134.3;11.109.00;11.143.40;11.092.50;212.25M
23.07.2018;11084.75;11.019.85;11.093.40;11.010.95;236.15M
20.07.2018;11010.2;10.963.50;11.030.25;10.946.20;193.14M
19.07.2018;10957.1;10.999.50;11.006.50;10.935.45;222.06M
18.07.2018;10980.45;11.060.20;11.076.20;10.956.30;232.50M
17.07.2018;11008.05;10.939.65;11.018.50;10.925.60;217.11M
16.07.2018;10936.85;11.018.95;11.019.50;10.926.25;216.97M
13.07.2018;11018.9;11.056.90;11.071.35;10.999.75;241.67M
12.07.2018;11023.2;11.006.95;11.078.30;10.999.65;256.04M
11.07.2018;10948.3;10.956.40;10.976.65;10.923.00;229.21M
10.07.2018;10947.25;10.902.75;10.956.90;10.876.65;203.06M
09.07.2018;10852.9;10.838.30;10.860.35;10.807.15;189.33M
06.07.2018;10772.65;10.744.15;10.816.35;10.735.05;256.55M
05.07.2018;10749.75;10.786.05;10.786.05;10.726.25;227.27M
04.07.2018;10769.9;10.715.00;10.777.15;10.677.75;179.27M
