FECHA;CIERRE;APERTURA;MAX;MIN;Vol.;% var.
01.02.2019;20788.39;20.797.03;20.929.63;20.741.98;847.46M;0.07 %
31.01.2019;20773.49;20.832.91;20.869.42;20.682.91;779.60M;1.06 %
30.01.2019;20556.54;20.701.62;20.706.27;20.527.53;743.38M;-0.52 %
29.01.2019;20664.64;20.555.44;20.673.66;20.406.22;650.25M;0.08 %
28.01.2019;20649;20.746.29;20.759.48;20.624.55;585.54M;-0.60 %
25.01.2019;20773.56;20.598.64;20.844.31;20.598.64;705.06M;0.97 %
24.01.2019;20574.63;20.506.24;20.620.72;20.467.59;633.32M;-0.09 %
23.01.2019;20593.72;20.453.44;20.686.29;20.438.22;612.83M;-0.14 %
22.01.2019;20622.91;20.770.06;20.805.93;20.558.30;588.60M;-0.47 %
21.01.2019;20719.33;20.848.38;20.892.68;20.678.26;630.65M;0.26 %
18.01.2019;20666.07;20.472.81;20.682.12;20.454.13;666.63M;1.29 %
17.01.2019;20402.27;20.544.23;20.571.75;20.342.46;656.18M;-0.20 %
16.01.2019;20442.75;20.575.72;20.580.25;20.323.32;716.84M;-0.55 %
15.01.2019;20555.29;20.264.82;20.571.28;20.204.43;806.94M;0.96 %
11.01.2019;20359.7;20.296.45;20.389.89;20.294.74;801.21M;0.97 %
10.01.2019;20163.8;20.270.88;20.345.92;20.101.93;759.63M;-1.29 %
09.01.2019;20427.06;20.366.30;20.494.35;20.331.20;750.92M;1.10 %
08.01.2019;20204.04;20.224.67;20.347.92;20.106.36;891.35M;0.82 %
07.01.2019;20038.97;19.944.61;20.266.22;19.920.80;840.26M;2.44 %
04.01.2019;19561.96;19.655.13;19.692.58;19.241.37;943.71M;-2.26 %
28.12.2018;20014.77;19.957.88;20.084.38;19.900.04;727.89M;-0.31 %
27.12.2018;20077.62;19.706.19;20.211.57;19.701.76;959.03M;3.88 %
26.12.2018;19327.06;19.302.59;19.530.35;18.948.58;824.46M;0.89 %
25.12.2018;19155.74;19.785.43;19.785.43;19.117.96;978.98M;-5.01 %
21.12.2018;20166.19;20.310.50;20.334.73;20.006.67;1.20B;-1.11 %
20.12.2018;20392.58;20.779.93;20.841.34;20.282.93;993.35M;-2.84 %
19.12.2018;20987.92;21.107.17;21.168.62;20.880.73;838.04M;-0.60 %
18.12.2018;21115.45;21.275.51;21.330.36;21.101.44;830.37M;-1.82 %
17.12.2018;21506.88;21.391.73;21.563.27;21.363.67;654.13M;0.62 %
14.12.2018;21374.83;21.638.96;21.751.31;21.353.94;1.06B;-2.02 %
13.12.2018;21816.19;21.755.13;21.871.34;21.675.66;816.71M;0.99 %
12.12.2018;21602.75;21.348.40;21.631.47;21.320.72;923.72M;2.15 %
11.12.2018;21148.02;21.273.04;21.279.02;21.062.31;902.49M;-0.34 %
10.12.2018;21219.5;21.319.47;21.365.78;21.169.96;813.67M;-2.12 %
07.12.2018;21678.68;21.643.75;21.734.94;21.506.45;804.62M;0.82 %
06.12.2018;21501.62;21.766.50;21.805.02;21.307.72;902.95M;-1.91 %
05.12.2018;21919.33;21.755.17;21.979.18;21.708.82;863.01M;-0.53 %
04.12.2018;22036.05;22.533.97;22.576.62;22.033.41;924.04M;-2.39 %
03.12.2018;22574.76;22.629.39;22.698.79;22.550.29;726.86M;1.00 %
