FECHA;CIERRE;APERTURA;MAX;MIN;Vol.
01.02.2019;2618.23;2.597.78;2.618.48;2.590.55;13.20B
31.01.2019;2584.57;2.581.33;2.606.63;2.571.58;15.43B
30.01.2019;2575.58;2.584.75;2.598.82;2.575.41;12.05B
29.01.2019;2594.25;2.592.35;2.601.74;2.559.98;15.56B
28.01.2019;2596.98;2.615.71;2.630.32;2.591.10;14.70B
25.01.2019;2601.72;2.596.26;2.617.00;2.595.63;15.94B
24.01.2019;2591.69;2.584.65;2.597.29;2.569.70;15.40B
23.01.2019;2581;2.575.26;2.589.51;2.572.41;13.14B
22.01.2019;2579.7;2.609.64;2.609.64;2.573.06;15.25B
21.01.2019;2610.51;2.599.06;2.618.98;2.599.06;16.34B
18.01.2019;2596.01;2.567.74;2.598.88;2.565.90;19.08B
17.01.2019;2559.64;2.573.58;2.582.56;2.557.71;16.25B
16.01.2019;2570.42;2.569.07;2.574.24;2.563.01;14.93B
15.01.2019;2570.34;2.537.37;2.571.50;2.532.43;16.03B
14.01.2019;2535.77;2.553.33;2.556.29;2.533.01;14.48B
11.01.2019;2553.83;2.539.55;2.554.79;2.533.36;14.94B
10.01.2019;2535.1;2.543.85;2.551.83;2.531.66;15.99B
09.01.2019;2544.34;2.536.42;2.574.41;2.536.16;19.19B
08.01.2019;2526.46;2.530.30;2.531.34;2.520.16;15.81B
07.01.2019;2533.09;2.528.70;2.536.98;2.515.51;17.73B
04.01.2019;2514.87;2.446.02;2.515.32;2.440.91;16.89B
03.01.2019;2464.36;2.461.78;2.488.48;2.455.93;12.44B
02.01.2019;2465.29;2.497.88;2.500.28;2.456.42;10.99B
28.12.2018;2493.9;2.483.62;2.505.11;2.478.32;11.92B
27.12.2018;2483.09;2.527.72;2.532.00;2.483.09;13.54B
26.12.2018;2498.29;2.501.12;2.513.83;2.492.08;10.88B
25.12.2018;2504.82;2.503.95;2.513.96;2.462.84;14.07B
24.12.2018;2527.01;2.506.74;2.529.44;2.500.44;9.73B
21.12.2018;2516.25;2.526.55;2.527.42;2.498.69;11.57B
20.12.2018;2536.27;2.544.51;2.554.86;2.516.02;12.06B
19.12.2018;2549.56;2.578.68;2.579.87;2.547.08;10.77B
18.12.2018;2576.65;2.583.63;2.599.15;2.563.57;11.70B
17.12.2018;2597.97;2.587.26;2.598.97;2.573.87;11.74B
14.12.2018;2593.74;2.627.28;2.629.16;2.593.74;14.59B
13.12.2018;2634.05;2.607.14;2.645.84;2.599.46;15.07B
12.12.2018;2602.15;2.608.11;2.610.01;2.595.07;10.35B
11.12.2018;2594.09;2.587.01;2.596.15;2.583.20;10.13B
10.12.2018;2584.58;2.589.19;2.599.76;2.576.24;11.32B
07.12.2018;2605.89;2.609.34;2.614.58;2.599.28;10.91B
06.12.2018;2605.18;2.629.82;2.633.68;2.603.13;14.17B
05.12.2018;2649.81;2.629.83;2.660.39;2.625.91;15.45B
04.12.2018;2665.96;2.651.56;2.666.08;2.644.90;16.79B
03.12.2018;2654.8;2.647.13;2.665.30;2.629.18;20.75B
30.11.2018;2588.19;2.564.56;2.590.21;2.555.32;13.93B
29.11.2018;2567.44;2.613.78;2.617.55;2.567.44;15.72B
28.11.2018;2601.74;2.575.45;2.601.96;2.561.56;14.60B
27.11.2018;2574.68;2.585.83;2.592.54;2.566.17;12.37B
26.11.2018;2575.81;2.580.84;2.595.00;2.568.04;13.43B
23.11.2018;2579.48;2.640.67;2.642.04;2.577.35;19.15B
22.11.2018;2645.43;2.655.90;2.658.00;2.634.48;14.93B
21.11.2018;2651.51;2.619.82;2.653.80;2.617.78;18.26B
20.11.2018;2645.85;2.684.29;2.690.83;2.643.36;21.59B
19.11.2018;2703.51;2.681.90;2.703.51;2.674.18;23.17B
16.11.2018;2679.11;2.669.78;2.695.57;2.657.03;24.22B
15.11.2018;2668.17;2.632.14;2.668.17;2.631.89;20.78B
14.11.2018;2632.24;2.648.31;2.658.31;2.627.96;23.84B
13.11.2018;2654.88;2.600.50;2.666.49;2.597.35;24.93B
